model,factor,condition_1,condition_2,spearman_r,permutation_p,n_permutations,method,is_context_pair
qwen,profession,neutral,negative_minor,0.9670745272525029,4.9999750001249995e-06,200000,monte_carlo_200000,True
qwen,profession,positive,negative_minor,0.9608453837597329,4.9999750001249995e-06,200000,monte_carlo_200000,True
qwen,country,original,health,0.7112781954887217,0.000684996575017125,200000,monte_carlo_200000,False
qwen,country,original,neutral,0.7082706766917292,0.000684996575017125,200000,monte_carlo_200000,False
qwen,country,original,positive,0.7518796992481201,0.00022999885000574998,200000,monte_carlo_200000,False
qwen,country,original,negative_minor,0.6511278195488721,0.0023999880000599998,200000,monte_carlo_200000,False
qwen,country,health,neutral,0.9353383458646616,4.9999750001249995e-06,200000,monte_carlo_200000,True
qwen,country,health,positive,0.8932330827067668,4.9999750001249995e-06,200000,monte_carlo_200000,True
qwen,country,health,negative_minor,0.9609022556390976,4.9999750001249995e-06,200000,monte_carlo_200000,True
qwen,country,neutral,positive,0.8977443609022555,4.9999750001249995e-06,200000,monte_carlo_200000,True
qwen,country,neutral,negative_minor,0.956390977443609,4.9999750001249995e-06,200000,monte_carlo_200000,True
qwen,country,positive,negative_minor,0.8872180451127819,4.9999750001249995e-06,200000,monte_carlo_200000,True
ministral,profession,original,health,0.9412680756395997,4.9999750001249995e-06,200000,monte_carlo_200000,False
ministral,profession,original,neutral,0.9746384872080088,4.9999750001249995e-06,200000,monte_carlo_200000,False
ministral,profession,original,positive,0.96440489432703,4.9999750001249995e-06,200000,monte_carlo_200000,False
ministral,profession,original,negative_minor,0.9488320355951056,4.9999750001249995e-06,200000,monte_carlo_200000,False
ministral,profession,health,neutral,0.9813125695216908,4.9999750001249995e-06,200000,monte_carlo_200000,True
ministral,profession,health,positive,0.9822024471635149,4.9999750001249995e-06,200000,monte_carlo_200000,True
ministral,profession,health,negative_minor,0.9853170189098998,4.9999750001249995e-06,200000,monte_carlo_200000,True
ministral,profession,neutral,positive,0.9866518353726361,4.9999750001249995e-06,200000,monte_carlo_200000,True
ministral,profession,neutral,negative_minor,0.9790878754171303,4.9999750001249995e-06,200000,monte_carlo_200000,True
ministral,profession,positive,negative_minor,0.9781979977753059,4.9999750001249995e-06,200000,monte_carlo_200000,True
ministral,country,original,health,0.8105263157894737,2.9999850000749997e-05,200000,monte_carlo_200000,False
ministral,country,original,neutral,0.7684210526315788,0.0001399993000035,200000,monte_carlo_200000,False
ministral,country,original,positive,0.6571428571428571,0.0021599892000539996,200000,monte_carlo_200000,False
ministral,country,original,negative_minor,0.8120300751879698,1.9999900000499998e-05,200000,monte_carlo_200000,False
ministral,country,health,neutral,0.9203007518796992,4.9999750001249995e-06,200000,monte_carlo_200000,True
ministral,country,health,positive,0.8240601503759398,2.4999875000624998e-05,200000,monte_carlo_200000,True
ministral,country,health,negative_minor,0.9804511278195487,4.9999750001249995e-06,200000,monte_carlo_200000,True
ministral,country,neutral,positive,0.9293233082706768,4.9999750001249995e-06,200000,monte_carlo_200000,True
ministral,country,neutral,negative_minor,0.9473684210526315,4.9999750001249995e-06,200000,monte_carlo_200000,True
ministral,country,positive,negative_minor,0.8616541353383457,1.4999925000374999e-05,200000,monte_carlo_200000,True
