model,factor,condition_1,condition_2,spearman_r,permutation_p,n_permutations,method,is_context_pair
gemma,country,neutral,positive,0.7999999999999999,0.3333333333333333,24,exact_enumeration,True
gemma,country,neutral,negative_minor,0.7999999999999999,0.3333333333333333,24,exact_enumeration,True
gemma,country,positive,negative_minor,1.0,0.08333333333333333,24,exact_enumeration,True
qwen,profession,original,health,0.9999999999999999,0.016666666666666666,120,exact_enumeration,False
qwen,profession,original,neutral,0.9999999999999999,0.016666666666666666,120,exact_enumeration,False
qwen,profession,original,positive,0.9999999999999999,0.016666666666666666,120,exact_enumeration,False
qwen,profession,original,negative_minor,0.8999999999999998,0.08333333333333333,120,exact_enumeration,False
qwen,profession,health,neutral,0.9999999999999999,0.016666666666666666,120,exact_enumeration,True
qwen,profession,health,positive,0.9999999999999999,0.016666666666666666,120,exact_enumeration,True
qwen,profession,health,negative_minor,0.8999999999999998,0.08333333333333333,120,exact_enumeration,True
qwen,profession,neutral,positive,0.9999999999999999,0.016666666666666666,120,exact_enumeration,True
qwen,profession,neutral,negative_minor,0.8999999999999998,0.08333333333333333,120,exact_enumeration,True
qwen,profession,positive,negative_minor,0.8999999999999998,0.08333333333333333,120,exact_enumeration,True
qwen,country,original,health,0.0,1.0,24,exact_enumeration,False
qwen,country,original,neutral,-0.6000000000000001,0.4166666666666667,24,exact_enumeration,False
qwen,country,original,positive,0.0,1.0,24,exact_enumeration,False
qwen,country,original,negative_minor,-0.6000000000000001,0.4166666666666667,24,exact_enumeration,False
qwen,country,health,neutral,0.7999999999999999,0.3333333333333333,24,exact_enumeration,True
qwen,country,health,positive,1.0,0.08333333333333333,24,exact_enumeration,True
qwen,country,health,negative_minor,0.7999999999999999,0.3333333333333333,24,exact_enumeration,True
qwen,country,neutral,positive,0.7999999999999999,0.3333333333333333,24,exact_enumeration,True
qwen,country,neutral,negative_minor,1.0,0.08333333333333333,24,exact_enumeration,True
qwen,country,positive,negative_minor,0.7999999999999999,0.3333333333333333,24,exact_enumeration,True
ministral,profession,original,health,0.9746794344808964,0.03333333333333333,120,exact_enumeration,False
ministral,profession,original,neutral,0.9999999999999999,0.016666666666666666,120,exact_enumeration,False
ministral,profession,original,positive,0.8999999999999998,0.08333333333333333,120,exact_enumeration,False
ministral,profession,original,negative_minor,0.9999999999999999,0.016666666666666666,120,exact_enumeration,False
ministral,profession,health,neutral,0.9746794344808963,0.03333333333333333,120,exact_enumeration,True
ministral,profession,health,positive,0.9746794344808963,0.03333333333333333,120,exact_enumeration,True
ministral,profession,health,negative_minor,0.9746794344808963,0.03333333333333333,120,exact_enumeration,True
ministral,profession,neutral,positive,0.8999999999999998,0.08333333333333333,120,exact_enumeration,True
ministral,profession,neutral,negative_minor,0.9999999999999999,0.016666666666666666,120,exact_enumeration,True
ministral,profession,positive,negative_minor,0.8999999999999998,0.08333333333333333,120,exact_enumeration,True
ministral,country,original,health,0.7999999999999999,0.3333333333333333,24,exact_enumeration,False
ministral,country,original,neutral,0.39999999999999997,0.75,24,exact_enumeration,False
ministral,country,original,positive,0.39999999999999997,0.75,24,exact_enumeration,False
ministral,country,original,negative_minor,0.632455532033676,0.5,24,exact_enumeration,False
ministral,country,health,neutral,0.7999999999999999,0.3333333333333333,24,exact_enumeration,True
ministral,country,health,positive,0.7999999999999999,0.3333333333333333,24,exact_enumeration,True
ministral,country,health,negative_minor,0.9486832980505139,0.16666666666666666,24,exact_enumeration,True
ministral,country,neutral,positive,1.0,0.08333333333333333,24,exact_enumeration,True
ministral,country,neutral,negative_minor,0.9486832980505139,0.16666666666666666,24,exact_enumeration,True
ministral,country,positive,negative_minor,0.9486832980505139,0.16666666666666666,24,exact_enumeration,True
