model_id,transformers_version,torch_version,gpu,prompt_template_version,generation_config,timestamp,slurm_job_id,git_commit,persona_id,country,gender,age,profession,topic,response_condition,raw_text,normalized_text,strict_parsed_rating,strict_is_valid,salvaged_rating,salvage_method,is_abstention,parse_failure_reason
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00002,Argentina,male,25,administrative assistant,trust in government,B_optional,NA,NA,NA,True,,,True,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00003,Argentina,male,25,architect,climate change,A_forced,3,3,3,True,,,False,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00003,Argentina,male,25,architect,climate change,B_optional,NA,NA,NA,True,,,True,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00003,Argentina,male,25,architect,gender equality,A_forced,4,4,4,True,,,False,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00003,Argentina,male,25,architect,gender equality,B_optional,NA,NA,NA,True,,,True,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00003,Argentina,male,25,architect,immigration,A_forced,3,3,3,True,,,False,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00003,Argentina,male,25,architect,immigration,B_optional,NA,NA,NA,True,,,True,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00003,Argentina,male,25,architect,lgbtq rights,A_forced,4,4,4,True,,,False,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00003,Argentina,male,25,architect,lgbtq rights,B_optional,NA,NA,NA,True,,,True,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00003,Argentina,male,25,architect,religion and secularism,A_forced,3,3,3,True,,,False,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00003,Argentina,male,25,architect,religion and secularism,B_optional,NA,NA,NA,True,,,True,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00003,Argentina,male,25,architect,economic redistribution,A_forced,3,3,3,True,,,False,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00003,Argentina,male,25,architect,economic redistribution,B_optional,NA,NA,NA,True,,,True,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00003,Argentina,male,25,architect,trust in government,A_forced,3,3,3,True,,,False,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00003,Argentina,male,25,architect,trust in government,B_optional,NA,NA,NA,True,,,True,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00004,Argentina,male,25,bank teller,climate change,A_forced,3,3,3,True,,,False,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00004,Argentina,male,25,bank teller,climate change,B_optional,NA,NA,NA,True,,,True,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00004,Argentina,male,25,bank teller,gender equality,A_forced,4,4,4,True,,,False,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00004,Argentina,male,25,bank teller,gender equality,B_optional,NA,NA,NA,True,,,True,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00004,Argentina,male,25,bank teller,immigration,A_forced,3,3,3,True,,,False,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00004,Argentina,male,25,bank teller,immigration,B_optional,NA,NA,NA,True,,,True,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00004,Argentina,male,25,bank teller,lgbtq rights,A_forced,3,3,3,True,,,False,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00004,Argentina,male,25,bank teller,lgbtq rights,B_optional,NA,NA,NA,True,,,True,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00004,Argentina,male,25,bank teller,religion and secularism,A_forced,3,3,3,True,,,False,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00004,Argentina,male,25,bank teller,religion and secularism,B_optional,NA,NA,NA,True,,,True,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00004,Argentina,male,25,bank teller,economic redistribution,A_forced,3,3,3,True,,,False,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00004,Argentina,male,25,bank teller,economic redistribution,B_optional,NA,NA,NA,True,,,True,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00004,Argentina,male,25,bank teller,trust in government,A_forced,3,3,3,True,,,False,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00004,Argentina,male,25,bank teller,trust in government,B_optional,NA,NA,NA,True,,,True,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00005,Argentina,male,25,business manager,climate change,A_forced,3,3,3,True,,,False,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00005,Argentina,male,25,business manager,climate change,B_optional,NA,NA,NA,True,,,True,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00005,Argentina,male,25,business manager,gender equality,A_forced,4,4,4,True,,,False,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00005,Argentina,male,25,business manager,gender equality,B_optional,NA,NA,NA,True,,,True,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00005,Argentina,male,25,business manager,immigration,A_forced,3,3,3,True,,,False,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00005,Argentina,male,25,business manager,immigration,B_optional,NA,NA,NA,True,,,True,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00005,Argentina,male,25,business manager,lgbtq rights,A_forced,4,4,4,True,,,False,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00005,Argentina,male,25,business manager,lgbtq rights,B_optional,NA,NA,NA,True,,,True,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00005,Argentina,male,25,business manager,religion and secularism,A_forced,3,3,3,True,,,False,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00005,Argentina,male,25,business manager,religion and secularism,B_optional,NA,NA,NA,True,,,True,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00005,Argentina,male,25,business manager,economic redistribution,A_forced,3,3,3,True,,,False,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00005,Argentina,male,25,business manager,economic redistribution,B_optional,NA,NA,NA,True,,,True,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00005,Argentina,male,25,business manager,trust in government,A_forced,3,3,3,True,,,False,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00005,Argentina,male,25,business manager,trust in government,B_optional,NA,NA,NA,True,,,True,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00006,Argentina,male,25,cashier,climate change,A_forced,3,3,3,True,,,False,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00006,Argentina,male,25,cashier,climate change,B_optional,NA,NA,NA,True,,,True,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00006,Argentina,male,25,cashier,gender equality,A_forced,3,3,3,True,,,False,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00006,Argentina,male,25,cashier,gender equality,B_optional,NA,NA,NA,True,,,True,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00006,Argentina,male,25,cashier,immigration,A_forced,3,3,3,True,,,False,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00006,Argentina,male,25,cashier,immigration,B_optional,NA,NA,NA,True,,,True,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00006,Argentina,male,25,cashier,lgbtq rights,A_forced,3,3,3,True,,,False,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00006,Argentina,male,25,cashier,lgbtq rights,B_optional,NA,NA,NA,True,,,True,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00006,Argentina,male,25,cashier,religion and secularism,A_forced,3,3,3,True,,,False,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00006,Argentina,male,25,cashier,religion and secularism,B_optional,NA,NA,NA,True,,,True,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00006,Argentina,male,25,cashier,economic redistribution,A_forced,3,3,3,True,,,False,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00006,Argentina,male,25,cashier,economic redistribution,B_optional,NA,NA,NA,True,,,True,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00006,Argentina,male,25,cashier,trust in government,A_forced,3,3,3,True,,,False,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00006,Argentina,male,25,cashier,trust in government,B_optional,NA,NA,NA,True,,,True,none
Qwen/Qwen3-8B,5.14.1,2.6.0+cu124,NVIDIA RTX A6000,health_v1,"{""do_sample"": false, ""max_new_tokens"": 30, ""repetition_penalty"": 1.0}",2026-07-23T23:45:08.908452+00:00,951989,unknown,P00007,Argentina,male,25,chef,climate change,A_forced,3,3,3,True,,,False,none
