persona_id,topic,response_condition,raw_text,parse_failure_reason,audit_salvaged_rating
P00010,immigration,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthatimmigrationistogoodforthecountry'seconomyand",other_malformed,4
P00010,lgbtq rights,B_optional,"Iwouldrespondwith4,asheidentifiessasemanandmaybelookingformoreacceptancetowardssame-sexrelationships",other_malformed,4
P00010,trust in government,B_optional,"Iwouldrespondwith4,asIthinkMateowouldviewthisstatementasneutral-leaningpositive.Whilehemaynotfullytrustthegovernment",other_malformed,4
P00011,climate change,B_optional,"Iwouldrespondwith4,ashemightagreewiththestatementthatclimatechangeisaseriousthreatthatrequiresimmediategovernmentaction",other_malformed,4
P00011,gender equality,B_optional,"Iwouldrespondwith4,asIimagineMateowouldagreewiththestatementthatmenandwomenshouldhaveequalrightsandopportunitiesin",other_malformed,4
P00011,immigration,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthatimmigrationistogoodforthecountry'seconomyand",other_malformed,4
P00011,lgbtq rights,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthathomosexualityandsame-sexrelationshipsshouldbefullyaccepted",other_malformed,4
P00011,trust in government,B_optional,"Iwouldrespondwith4,asIthinkMateowouldviewthisstatementasneutral-leaningpositive.Whilehemaynotfullyagreewiththe",other_malformed,4
P00012,climate change,B_optional,"Iwouldrespondwith4,ashemightagreewiththestatementthatclimatechangeisaseriousthreatthatrequiresimmediategovernmentaction",other_malformed,4
P00012,gender equality,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthatmenandwomenshouldhaveequalrightsandopportunitiesin",other_malformed,4
P00012,immigration,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthatimmigrationistogoodforthecountry'seconomyand",other_malformed,4
P00012,lgbtq rights,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthathomosexualityandsame-sexrelationshipsshouldbefullyaccepted",other_malformed,4
P00012,religion and secularism,B_optional,"Iwouldrespondwith4,ashemightagreewiththestatementthatreligionshouldplayanimportantroleinguidingpublicpolicy.However,",other_malformed,4
P00012,trust in government,B_optional,"Iwouldrespondwith4,asIthinkMateowouldviewthisstatementasneutral-leaningpositive.Whilehemaynotfullyagreewiththe",other_malformed,4
P00013,climate change,B_optional,"Iwouldrespondwith4,ashemightagreewiththestatementthatclimatechangeisaseriousthreatthatrequiresimmediategovernmentaction",other_malformed,4
P00013,gender equality,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatement""Menandwomenshouldhaveequalrightsandopportunitiesin",other_malformed,4
P00013,immigration,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthatimmigrationistogoodforthecountry'seconomyand",other_malformed,4
P00013,lgbtq rights,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthathomosexualityandsame-sexrelationshipsshouldbefullyaccepted",other_malformed,4
P00013,trust in government,B_optional,"Iwouldrespondwith4,asIthinkMateowouldviewthisstatementasneutral-leaningpositive.Whilehemaynotfullyagreewiththe",other_malformed,4
P00014,climate change,B_optional,"Iwouldrespondwith4,ashemightagreewiththestatementthatclimatechangeisaseriousthreatthatrequiresimmediategovernmentaction",other_malformed,4
P00014,gender equality,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthatmenandwomenshouldhaveequalrightsandopportunitiesin",other_malformed,4
P00014,immigration,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthatimmigrationistogoodforthecountry'seconomyand",other_malformed,4
P00014,lgbtq rights,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthathomosexualityandsame-sexrelationshipsshouldbefullyaccepted",other_malformed,4
P00014,trust in government,B_optional,"Iwouldrespondwith4,asIthinkMateowouldviewthisstatementasneutral-leaningpositive.Whilehemaynotfullytrustthegovernment",other_malformed,4
P00015,climate change,B_optional,"Iwouldrespondwith4,ashemightagreewiththestatementthatclimatechangeisaseriousthreatthatrequiresimmediategovernmentaction",other_malformed,4
P00015,gender equality,B_optional,"Iwouldrespondwith4,asIimagineMateowouldagreewiththestatementthatmenandwomenshouldhaveequalrightsandopportunitiesin",other_malformed,4
P00015,immigration,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthatimmigrationistogoodforthecountry'seconomyand",other_malformed,4
P00015,lgbtq rights,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthathomosexualityandsame-sexrelationshipsshouldbefullyaccepted",other_malformed,4
P00015,trust in government,B_optional,"Iwouldrespondwith4,asIthinkMateowouldviewthisstatementasneutral-leaningpositive.Whilehemaynotfullyagreewiththe",other_malformed,4
P00016,climate change,B_optional,"Iwouldrespondwith4,ashemightagreewiththestatementthatclimatechangeisaseriousthreatthatrequiresimmediategovernmentaction",other_malformed,4
P00016,gender equality,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthatmenandwomenshouldhaveequalrightsandopportunitiesin",other_malformed,4
P00016,lgbtq rights,B_optional,"Iwouldrespondwith4,asIimagineMateowouldbeopen-mindedandacceptingofLGBTQ+rightsandequality.However,",other_malformed,4
P00016,trust in government,B_optional,"Iwouldrespondwith4,asIthinkMateowouldviewthisstatementasneutral-leaningpositive.Whilehemaynotfullyagreewiththe",other_malformed,4
P00017,climate change,B_optional,"Iwouldrespondwith4,ashemaybelookingfortransformationalandurgingforimmediateaction.However,it'simportanttonote",other_malformed,4
P00017,gender equality,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthatmenandwomenshouldhaveequalrightsandopportunitiesin",other_malformed,4
P00017,immigration,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthatimmigrationistogoodforthecountry'seconomyand",other_malformed,4
P00017,lgbtq rights,B_optional,"Iwouldrespondwith4,asIimagineMateowouldbeopen-mindedandacceptingofLGBTQ+rightsandequality.However,",other_malformed,4
P00017,religion and secularism,B_optional,"Iwouldrespondwith4,ashemaybelookingfortransparentandevidence-basedpolicy-makingratherthanreligiousguidance.However,",other_malformed,4
P00017,trust in government,B_optional,"Iwouldrespondwith4,asIthinkMateowouldviewthisstatementasneutral-leaningpositive.Whilehemaynotfullyagreewiththe",other_malformed,4
P00018,climate change,B_optional,"Iwouldrespondwith4,asheislikelytobeawareoftheurgencyofclimatechangeandtheneedforgovernmentaction.However,I",other_malformed,4
P00018,gender equality,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthatmenandwomenshouldhaveequalrightsandopportunitiesin",other_malformed,4
P00018,immigration,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthatimmigrationistogoodforthecountry'seconomyand",other_malformed,4
P00018,lgbtq rights,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthathomosexualityandsame-sexrelationshipsshouldbefullyaccepted",other_malformed,4
P00018,religion and secularism,B_optional,"Iwouldrespondwith4,ashemightbelookingfortransparentandevidence-basedpolicy-makingratherthanbeingguidedsolelybyreligious",other_malformed,4
P00018,trust in government,B_optional,"Iwouldrespondwith4,asIthinkMateowouldviewthisstatementasneutral-leaningpositive.Whilehemaynotfullyagreewiththe",other_malformed,4
P00019,climate change,B_optional,"Iwouldrespondwith4,asheislikelytobeawareoftheurgencyofclimatechangeandtheneedforgovernmentaction.However,I",other_malformed,4
P00019,gender equality,B_optional,"Iwouldrespondwith4,asIimagineMateowouldagreewiththestatementthatmenandwomenshouldhaveequalrightsandopportunitiesin",other_malformed,4
P00019,immigration,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthatimmigrationistogoodforthecountry'seconomyand",other_malformed,4
P00019,lgbtq rights,B_optional,"Iwouldrespondwith4,asheidentifiessasexualandgenderidentitythatdiffersfromthemajority,whichcouldmakehimmorevul",other_malformed,4
P00019,religion and secularism,B_optional,"Iwouldrespondwith4,asheislawyerandlikelyhasaninterestinpublicpolicyandtheroleofreligioninit.However,I",other_malformed,4
P00019,trust in government,B_optional,"Iwouldrespondwith4,asIthinkMateo,beinganArgentineandaworkingasalawyer,mightbelooking",other_malformed,4
P00020,climate change,B_optional,"Iwouldrespondwith4,ashemightagreewiththestatementthatclimatechangeisaseriousthreatthatrequiresimmediategovernmentaction",other_malformed,4
P00020,gender equality,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthatmenandwomenshouldhaveequalrightsandopportunitiesin",other_malformed,4
P00020,immigration,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthatimmigrationistogoodforthecountry'seconomyand",other_malformed,4
P00020,lgbtq rights,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthathomosexualityandsame-sexrelationshipsshouldbefullyaccepted",other_malformed,4
P00020,trust in government,B_optional,"Iwouldrespondwith4,asIthinkMateowouldviewthisstatementasneutral-leaningpositive.Whilehemaynotfullytrustthegovernment",other_malformed,4
P00021,climate change,B_optional,"Iwouldrespondwith4,ashemightagreewiththestatementthatclimatechangeisaseriousthreatthatrequiresimmediategovernmentaction",other_malformed,4
P00021,gender equality,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatement""Menandwomenshouldhaveequalrightsandopportunitiesin",other_malformed,4
P00021,immigration,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthatimmigrationistogoodforthecountry'seconomyand",other_malformed,4
P00021,lgbtq rights,B_optional,"Iwouldrespondwith4,asheidentifiessasexualandidentifiesasaman,whichwouldlikelymeanhebelievesintheimportance",other_malformed,4
P00021,trust in government,B_optional,"Iwouldrespondwith4,asIthinkMateowouldviewthisstatementasneutral-leaningpositive.Whilehemaynotfullyagreewiththe",other_malformed,4
P00022,climate change,B_optional,"Iwouldrespondwith4,ashemightagreewiththestatementthatclimatechangeisaseriousthreatthatrequiresimmediategovernmentaction",other_malformed,4
P00022,gender equality,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatement""Menandwomenshouldhaveequalrightsandopportunitiesin",other_malformed,4
P00022,lgbtq rights,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthathomosexualityandsame-sexrelationshipsshouldbefullyaccepted",other_malformed,4
P00022,trust in government,B_optional,"Iwouldrespondwith4,asIthinkMateowouldviewthisstatementasneutral-leaningpositive.Whilehemaynotfullyagreewiththe",other_malformed,4
P00023,climate change,B_optional,"Iwouldrespondwith4,ashemightagreewiththestatementthatclimatechangeisaseriousthreatthatrequiresimmediategovernmentaction",other_malformed,4
P00023,gender equality,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthatmenandwomenshouldhaveequalrightsandopportunitiesin",other_malformed,4
P00023,immigration,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthatimmigrationistogoodforthecountry'seconomyand",other_malformed,4
P00023,lgbtq rights,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthathomosexualityandsame-sexrelationshipsshouldbefullyaccepted",other_malformed,4
P00023,religion and secularism,B_optional,"Iwouldrespondwith4,ashemightagreewiththestatementthatreligionshouldplayanimportantroleinguidingpublicpolicy.However,",other_malformed,4
P00023,trust in government,B_optional,"Iwouldrespondwith4,asIthinkMateowouldviewthisstatementasneutral-leaningpositive.Whilehemaynotfullyagreewiththe",other_malformed,4
P00024,climate change,B_optional,"Iwouldrespondwith4,ashemightagreewiththestatementthatclimatechangeisaseriousthreatthatrequiresimmediategovernmentaction",other_malformed,4
P00024,gender equality,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatement""Menandwomenshouldhaveequalrightsandopportunitiesin",other_malformed,4
P00024,immigration,B_optional,"Iwouldrespondwith4,asIthinkMateo,beingfromArgentinaandhavingworkedinAmericancountry,wouldunderstandthebenefits",other_malformed,4
P00024,lgbtq rights,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthathomosexualityandsame-sexrelationshipsshouldbefullyaccepted",other_malformed,4
P00024,religion and secularism,B_optional,"Iwouldrespondwith4,ashemightbelookingfortransparentandevidence-basedpolicy-makingratherthanbeingguidedsolelybyhis",other_malformed,4
P00024,trust in government,B_optional,"Iwouldrespondwith4,asIthinkMateo,beingapoliceofficerandbeingconcernedaboutthegovernmentactinginthebestinterestofthepeople",other_malformed,4
P00025,climate change,B_optional,"Iwouldrespondwith4,ashemightagreewiththestatementthatclimatechangeisaseriousthreatthatrequiresimmediategovernmentaction",other_malformed,4
P00025,gender equality,B_optional,"Iwouldrespondwith4,asIimagineMateowouldagreewiththestatementthatmenandwomenshouldhaveequalrightsandopportunitiesin",other_malformed,4
P00025,immigration,B_optional,"Iwouldrespondwith4,asIthinkMateo,beingfromArgentinaandhavingworkedinrealestate,wouldunderstandthebenefitsofimmigration",other_malformed,4
P00025,lgbtq rights,B_optional,"Iwouldrespondwith4,asIimagineMateowouldbeopen-mindedandacceptingofLGBTQ+rightsandequality.However,",other_malformed,4
P00025,trust in government,B_optional,"Iwouldrespondwith4,asIthinkMateowouldviewthisstatementasageneralstatementandmaybelookingformorecontextbeforeformulating",other_malformed,4
P00026,climate change,B_optional,"Iwouldrespondwith4,ashemightagreewiththestatementthatclimatechangeisaseriousthreatthatrequiresimmediategovernmentaction",other_malformed,4
P00026,gender equality,B_optional,"Iwouldrespondwith4,asIimagineMateowouldagreewiththestatementthatmenandwomenshouldhaveequalrightsandopportunitiesin",other_malformed,4
P00026,lgbtq rights,B_optional,"Iwouldrespondwith4,asheidentifiessasemanandworksinsocietywherehomosexualityisfullyaccepted,sothatmays",other_malformed,4
P00027,climate change,B_optional,"Iwouldrespondwith4,ashemightagreewiththestatementthatclimatechangeisaseriousthreatthatrequiresimmediategovernmentaction",other_malformed,4
P00027,gender equality,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthatmenandwomenshouldhaveequalrightsandopportunitiesin",other_malformed,4
P00027,immigration,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthatimmigrationistogoodforthecountry'seconomyand",other_malformed,4
P00027,lgbtq rights,B_optional,"Iwouldrespondwith4,asheidentifiessasexualandidentifiesasaman,whichwouldlikelymeanhebelieveshomosexuality",other_malformed,4
P00027,trust in government,B_optional,"Iwouldrespondwith4,ashemaybelookingforthegovernmenttoactinthebestinterestofthepeople,buthemayalsobew",other_malformed,4
P00028,climate change,B_optional,"Iwouldrespondwith4,ashemightagreewiththestatementthatclimatechangeisaseriousthreatthatrequiresimmediategovernmentaction",other_malformed,4
P00028,gender equality,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatement""Menandwomenshouldhaveequalrightsandopportunitiesin",other_malformed,4
P00028,immigration,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthatimmigrationistogoodforthecountry'seconomyand",other_malformed,4
P00028,lgbtq rights,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthathomosexualityandsame-sexrelationshipsshouldbefullyaccepted",other_malformed,4
P00028,trust in government,B_optional,"Iwouldrespondwith4,asIthinkMateowouldviewthisstatementasneutral-leaningpositive.Whilehemaynotfullyagreewiththe",other_malformed,4
P00029,climate change,B_optional,"Iwouldrespondwith4,ashemightagreewiththestatementthatclimatechangeisaseriousthreatthatrequiresimmediategovernmentaction",other_malformed,4
P00029,gender equality,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthatmenandwomenshouldhaveequalrightsandopportunitiesin",other_malformed,4
P00029,lgbtq rights,B_optional,"Iwouldrespondwith4,asheidentifiessasemanandmaybelookingformoreacceptancetowardssame-sexrelationships",other_malformed,4
P00029,trust in government,B_optional,"Iwouldrespondwith4,asIthinkMateowouldviewthisstatementasneutral-leaningpositive.Whilehemaynotfullyagreewiththe",other_malformed,4
P00030,climate change,B_optional,"Iwouldrespondwith4,ashemaybelookingfortransformationalandurgingforimmediateaction.However,it'simportanttonote",other_malformed,4
P00030,gender equality,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthatmenandwomenshouldhaveequalrightsandopportunitiesin",other_malformed,4
P00030,immigration,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthatimmigrationistogoodforthecountry'seconomyand",other_malformed,4
P00030,lgbtq rights,B_optional,"Iwouldrespondwith4,asIimagineMateowouldbeopen-mindedandacceptingofLGBTQ+rightsandequality.However,",other_malformed,4
P00030,trust in government,B_optional,"Iwouldrespondwith4,asIthinkMateowouldviewthisstatementasneutral.Whilehemaynotfullyagreewiththestatement,Ithink",other_malformed,4
P00031,climate change,B_optional,"Iwouldrespondwith4,ashemightagreewiththestatementthatclimatechangeisaseriousthreatthatrequiresimmediategovernmentaction",other_malformed,4
P00031,gender equality,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthatmenandwomenshouldhaveequalrightsandopportunitiesin",other_malformed,4
P00031,immigration,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthatimmigrationistogoodforthecountry'seconomyand",other_malformed,4
P00031,lgbtq rights,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthathomosexualityandsame-sexrelationshipsshouldbefullyaccepted",other_malformed,4
P00031,religion and secularism,B_optional,"Iwouldrespondwith4,ashemightagreewiththestatementthatreligionshouldplayanimportantroleinguidingpublicpolicy.However,",other_malformed,4
P00031,trust in government,B_optional,"Iwouldrespondwith4,asIthinkMateowouldviewthisstatementasneutral-leaningagreeing.Whilehemaynotfullytrustthe",other_malformed,4
P00032,climate change,B_optional,"Iwouldrespondwith4,asMateoislikelytorecognizethatclimatechangeissomethingthatneedsattentionandactionfromgovernments.However,",other_malformed,4
P00032,gender equality,B_optional,"Iwouldrespondwith4,asIimagineMateowouldagreewiththestatementthatmenandwomenshouldhaveequalrightsandopportunitiesin",other_malformed,4
P00032,immigration,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthatimmigrationistogoodforthecountry'seconomyand",other_malformed,4
P00032,lgbtq rights,A_forced,"Iwouldrespondwith4.ThismeansthatIestimateMateowouldagreewiththestatementmorethanhewoulddisagreewithit,buthewould",other_malformed,4
P00032,lgbtq rights,B_optional,"Iwouldrespondwith4,asIthinkMateowouldagreewiththestatementthathomosexualityandsame-sexrelationshipsshouldbefullyaccepted",other_malformed,4
P00032,religion and secularism,A_forced,Iwouldrespondwith4.,other_malformed,4
P00032,trust in government,B_optional,"Iwouldrespondwith4,asIthinkMateowouldviewthisstatementasageneralstatementandmaybelookingformorecontextbeforeformulating",other_malformed,4
P00033,climate change,B_optional,"Iwouldrespondwith4,ashemightagreewiththestatementthatclimatechangeisaseriousthreatthatrequiresimmediategovernmentaction",other_malformed,4
P00033,gender equality,B_optional,"Iwouldrespondwith4,asIimagineMateowouldagreewiththestatement.However,Icannotbecompletelycertainwithoutknowingmoreabouthispersonal",other_malformed,4
P00033,immigration,B_optional,"Iwouldrespondwith4,asIthinkMateo,beingfromArgentinaandhavingworkedinthearchitecturefield,wouldrecognizethevalueofimm",other_malformed,4
P00033,lgbtq rights,B_optional,"Iwouldrespondwith4,asIimagineMateowouldbeopen-mindedandacceptingofLGBTQ+rightsandequality.However,",other_malformed,4
P00033,religion and secularism,A_forced,Iwouldrespondwith4.,other_malformed,4
P00033,religion and secularism,B_optional,"Iwouldrespondwith4,ashemightagreewiththestatementthatreligionshouldplayanimportantroleinguidingpublicpolicy.However,",other_malformed,4
P00033,trust in government,B_optional,"Iwouldrespondwith4,asIthinkMateo,beinganarchitectandoriginallyfromArgentina,wouldbelookingforthebestinterestsofthe",other_malformed,4
