persona_id,topic,country,profession,a_valid,a_rating,b_answered,b_abstained,b_rating
P00010,trust in government,Argentina,construction worker,True,3.0,True,False,2.0
P00011,climate change,Argentina,doctor,True,4.0,True,False,4.0
P00011,gender equality,Argentina,doctor,True,5.0,True,False,4.0
P00011,immigration,Argentina,doctor,True,4.0,True,False,4.0
P00011,lgbtq rights,Argentina,doctor,True,4.0,True,False,4.0
P00011,religion and secularism,Argentina,doctor,True,3.0,True,False,3.0
P00011,economic redistribution,Argentina,doctor,True,4.0,True,False,4.0
P00011,trust in government,Argentina,doctor,True,3.0,True,False,3.0
P00012,climate change,Argentina,electrician,True,4.0,True,False,4.0
P00012,gender equality,Argentina,electrician,True,4.0,True,False,4.0
P00012,immigration,Argentina,electrician,True,4.0,True,False,4.0
P00012,lgbtq rights,Argentina,electrician,True,4.0,True,False,4.0
P00012,religion and secularism,Argentina,electrician,True,3.0,True,False,3.0
P00012,economic redistribution,Argentina,electrician,True,4.0,True,False,4.0
P00012,trust in government,Argentina,electrician,True,3.0,True,False,2.0
P00013,climate change,Argentina,elementary school teacher,True,4.0,True,False,4.0
P00013,gender equality,Argentina,elementary school teacher,True,5.0,True,False,4.0
P00013,immigration,Argentina,elementary school teacher,True,4.0,True,False,4.0
P00013,lgbtq rights,Argentina,elementary school teacher,True,4.0,True,False,4.0
P00013,religion and secularism,Argentina,elementary school teacher,True,3.0,True,False,3.0
P00013,economic redistribution,Argentina,elementary school teacher,True,4.0,True,False,4.0
P00013,trust in government,Argentina,elementary school teacher,True,3.0,True,False,3.0
P00014,climate change,Argentina,farmer,True,4.0,True,False,4.0
P00014,gender equality,Argentina,farmer,True,4.0,True,False,4.0
P00014,immigration,Argentina,farmer,True,4.0,True,False,4.0
P00014,lgbtq rights,Argentina,farmer,True,4.0,True,False,4.0
P00014,religion and secularism,Argentina,farmer,True,3.0,True,False,3.0
P00014,economic redistribution,Argentina,farmer,True,4.0,True,False,4.0
P00014,trust in government,Argentina,farmer,True,3.0,True,False,3.0
P00015,climate change,Argentina,flight attendant,True,4.0,True,False,4.0
P00015,gender equality,Argentina,flight attendant,True,5.0,True,False,4.0
P00015,immigration,Argentina,flight attendant,True,4.0,True,False,4.0
P00015,lgbtq rights,Argentina,flight attendant,True,4.0,True,False,4.0
P00015,religion and secularism,Argentina,flight attendant,True,3.0,True,False,3.0
P00015,economic redistribution,Argentina,flight attendant,True,4.0,True,False,4.0
P00015,trust in government,Argentina,flight attendant,True,3.0,True,False,3.0
P00016,climate change,Argentina,hairdresser,True,4.0,True,False,4.0
P00016,gender equality,Argentina,hairdresser,True,5.0,True,False,4.0
P00016,immigration,Argentina,hairdresser,True,4.0,True,False,4.0
P00016,lgbtq rights,Argentina,hairdresser,True,4.0,True,False,4.0
P00016,religion and secularism,Argentina,hairdresser,True,3.0,True,False,3.0
P00016,economic redistribution,Argentina,hairdresser,True,4.0,True,False,4.0
P00016,trust in government,Argentina,hairdresser,True,3.0,True,False,3.0
P00017,climate change,Argentina,janitor,True,4.0,True,False,4.0
P00017,gender equality,Argentina,janitor,True,4.0,True,False,4.0
P00017,immigration,Argentina,janitor,True,4.0,True,False,4.0
P00017,lgbtq rights,Argentina,janitor,True,4.0,True,False,4.0
P00017,religion and secularism,Argentina,janitor,True,3.0,True,False,3.0
P00017,economic redistribution,Argentina,janitor,True,4.0,True,False,4.0
P00017,trust in government,Argentina,janitor,True,3.0,True,False,2.0
P00018,climate change,Argentina,journalist,True,4.0,True,False,4.0
P00018,gender equality,Argentina,journalist,True,5.0,True,False,4.0
P00018,immigration,Argentina,journalist,True,4.0,True,False,4.0
P00018,lgbtq rights,Argentina,journalist,True,4.0,True,False,4.0
P00018,religion and secularism,Argentina,journalist,True,2.0,True,False,2.0
P00018,economic redistribution,Argentina,journalist,True,4.0,True,False,4.0
P00018,trust in government,Argentina,journalist,True,2.0,True,False,2.0
P00019,climate change,Argentina,lawyer,True,4.0,True,False,4.0
P00019,gender equality,Argentina,lawyer,True,5.0,True,False,4.0
P00019,immigration,Argentina,lawyer,True,4.0,True,False,4.0
P00019,lgbtq rights,Argentina,lawyer,True,4.0,True,False,4.0
P00019,religion and secularism,Argentina,lawyer,True,3.0,True,False,2.0
P00019,economic redistribution,Argentina,lawyer,True,4.0,True,False,4.0
P00019,trust in government,Argentina,lawyer,True,3.0,True,False,2.0
P00020,climate change,Argentina,mechanic,True,4.0,True,False,4.0
P00020,gender equality,Argentina,mechanic,True,4.0,True,False,4.0
P00020,immigration,Argentina,mechanic,True,4.0,True,False,4.0
P00020,lgbtq rights,Argentina,mechanic,True,4.0,True,False,4.0
P00020,religion and secularism,Argentina,mechanic,True,3.0,True,False,3.0
P00020,economic redistribution,Argentina,mechanic,True,4.0,True,False,4.0
P00020,trust in government,Argentina,mechanic,True,3.0,True,False,2.0
P00021,climate change,Argentina,paramedic,True,4.0,True,False,4.0
P00021,gender equality,Argentina,paramedic,True,5.0,True,False,4.0
P00021,immigration,Argentina,paramedic,True,4.0,True,False,4.0
P00021,lgbtq rights,Argentina,paramedic,True,4.0,True,False,4.0
P00021,religion and secularism,Argentina,paramedic,True,3.0,True,False,3.0
P00021,economic redistribution,Argentina,paramedic,True,4.0,True,False,4.0
P00021,trust in government,Argentina,paramedic,True,3.0,True,False,2.0
P00022,climate change,Argentina,pharmacist,True,4.0,True,False,4.0
P00022,gender equality,Argentina,pharmacist,True,5.0,True,False,4.0
P00022,immigration,Argentina,pharmacist,True,4.0,True,False,4.0
P00022,lgbtq rights,Argentina,pharmacist,True,4.0,True,False,4.0
P00022,religion and secularism,Argentina,pharmacist,True,3.0,True,False,3.0
P00022,economic redistribution,Argentina,pharmacist,True,4.0,True,False,4.0
P00022,trust in government,Argentina,pharmacist,True,3.0,True,False,3.0
P00023,climate change,Argentina,plumber,True,4.0,True,False,4.0
P00023,gender equality,Argentina,plumber,True,4.0,True,False,4.0
P00023,immigration,Argentina,plumber,True,4.0,True,False,4.0
P00023,lgbtq rights,Argentina,plumber,True,4.0,True,False,4.0
P00023,religion and secularism,Argentina,plumber,True,3.0,True,False,3.0
P00023,economic redistribution,Argentina,plumber,True,4.0,True,False,4.0
P00023,trust in government,Argentina,plumber,True,3.0,True,False,3.0
P00024,climate change,Argentina,police officer,True,4.0,True,False,4.0
P00024,gender equality,Argentina,police officer,True,5.0,True,False,4.0
P00024,immigration,Argentina,police officer,True,4.0,True,False,4.0
P00024,lgbtq rights,Argentina,police officer,True,4.0,True,False,4.0
P00024,religion and secularism,Argentina,police officer,True,3.0,True,False,3.0
P00024,economic redistribution,Argentina,police officer,True,4.0,True,False,4.0
P00024,trust in government,Argentina,police officer,True,4.0,True,False,2.0
P00025,climate change,Argentina,real estate agent,True,4.0,True,False,4.0
P00025,gender equality,Argentina,real estate agent,True,4.0,True,False,4.0
P00025,immigration,Argentina,real estate agent,True,4.0,True,False,4.0
P00025,lgbtq rights,Argentina,real estate agent,True,4.0,True,False,4.0
P00025,religion and secularism,Argentina,real estate agent,True,3.0,True,False,3.0
P00025,economic redistribution,Argentina,real estate agent,True,4.0,True,False,4.0
P00025,trust in government,Argentina,real estate agent,True,3.0,True,False,3.0
P00026,climate change,Argentina,registered nurse,True,4.0,True,False,4.0
P00026,gender equality,Argentina,registered nurse,True,5.0,True,False,4.0
P00026,immigration,Argentina,registered nurse,True,4.0,True,False,4.0
P00026,lgbtq rights,Argentina,registered nurse,True,4.0,True,False,4.0
P00026,religion and secularism,Argentina,registered nurse,True,3.0,True,False,3.0
P00026,economic redistribution,Argentina,registered nurse,True,4.0,True,False,4.0
P00026,trust in government,Argentina,registered nurse,True,3.0,True,False,3.0
P00027,climate change,Argentina,social worker,True,4.0,True,False,4.0
P00027,gender equality,Argentina,social worker,True,5.0,True,False,4.0
P00027,immigration,Argentina,social worker,True,4.0,True,False,4.0
P00027,lgbtq rights,Argentina,social worker,True,4.0,True,False,4.0
P00027,religion and secularism,Argentina,social worker,True,2.0,True,False,2.0
P00027,economic redistribution,Argentina,social worker,True,4.0,True,False,4.0
P00027,trust in government,Argentina,social worker,True,2.0,True,False,2.0
P00028,climate change,Argentina,truck driver,True,4.0,True,False,4.0
P00028,gender equality,Argentina,truck driver,True,4.0,True,False,4.0
P00028,immigration,Argentina,truck driver,True,4.0,True,False,4.0
P00028,lgbtq rights,Argentina,truck driver,True,4.0,True,False,4.0
P00028,religion and secularism,Argentina,truck driver,True,3.0,True,False,3.0
P00028,economic redistribution,Argentina,truck driver,True,4.0,True,False,4.0
P00028,trust in government,Argentina,truck driver,True,3.0,True,False,3.0
P00029,climate change,Argentina,veterinarian,True,4.0,True,False,4.0
P00029,gender equality,Argentina,veterinarian,True,5.0,True,False,4.0
P00029,immigration,Argentina,veterinarian,True,4.0,True,False,4.0
P00029,lgbtq rights,Argentina,veterinarian,True,4.0,True,False,4.0
P00029,religion and secularism,Argentina,veterinarian,True,3.0,True,False,3.0
P00029,economic redistribution,Argentina,veterinarian,True,4.0,True,False,4.0
P00029,trust in government,Argentina,veterinarian,True,3.0,True,False,3.0
P00030,climate change,Argentina,waiter,True,4.0,True,False,4.0
P00030,gender equality,Argentina,waiter,True,4.0,True,False,4.0
P00030,immigration,Argentina,waiter,True,4.0,True,False,4.0
P00030,lgbtq rights,Argentina,waiter,True,4.0,True,False,4.0
P00030,religion and secularism,Argentina,waiter,True,3.0,True,False,3.0
P00030,economic redistribution,Argentina,waiter,True,4.0,True,False,4.0
P00030,trust in government,Argentina,waiter,True,3.0,True,False,2.0
P00031,climate change,Argentina,accountant,True,4.0,True,False,4.0
P00031,gender equality,Argentina,accountant,True,4.0,True,False,4.0
P00031,immigration,Argentina,accountant,True,4.0,True,False,4.0
P00031,lgbtq rights,Argentina,accountant,True,4.0,True,False,4.0
P00031,religion and secularism,Argentina,accountant,True,3.0,True,False,3.0
P00031,economic redistribution,Argentina,accountant,True,4.0,True,False,4.0
P00031,trust in government,Argentina,accountant,True,3.0,True,False,3.0
P00032,climate change,Argentina,administrative assistant,True,4.0,True,False,4.0
P00032,gender equality,Argentina,administrative assistant,True,4.0,True,False,4.0
P00032,immigration,Argentina,administrative assistant,True,4.0,True,False,4.0
P00032,lgbtq rights,Argentina,administrative assistant,True,4.0,True,False,4.0
P00032,religion and secularism,Argentina,administrative assistant,True,3.0,True,False,3.0
P00032,economic redistribution,Argentina,administrative assistant,True,4.0,True,False,4.0
P00032,trust in government,Argentina,administrative assistant,True,3.0,True,False,3.0
P00033,climate change,Argentina,architect,True,4.0,True,False,4.0
P00033,gender equality,Argentina,architect,True,5.0,True,False,4.0
P00033,immigration,Argentina,architect,True,4.0,True,False,4.0
P00033,lgbtq rights,Argentina,architect,True,4.0,True,False,4.0
P00033,religion and secularism,Argentina,architect,True,3.0,True,False,3.0
P00033,economic redistribution,Argentina,architect,True,4.0,True,False,4.0
P00033,trust in government,Argentina,architect,True,3.0,True,False,2.0
P00034,climate change,Argentina,bank teller,True,4.0,True,False,4.0
P00034,gender equality,Argentina,bank teller,True,4.0,True,False,4.0
P00034,immigration,Argentina,bank teller,True,4.0,True,False,4.0
P00034,lgbtq rights,Argentina,bank teller,True,4.0,True,False,4.0
P00034,religion and secularism,Argentina,bank teller,True,3.0,True,False,3.0
P00034,economic redistribution,Argentina,bank teller,True,4.0,True,False,4.0
P00034,trust in government,Argentina,bank teller,True,3.0,True,False,3.0
P00035,climate change,Argentina,business manager,True,4.0,True,False,4.0
P00035,gender equality,Argentina,business manager,True,4.0,True,False,4.0
P00035,immigration,Argentina,business manager,True,4.0,True,False,4.0
P00035,lgbtq rights,Argentina,business manager,True,4.0,True,False,4.0
P00035,religion and secularism,Argentina,business manager,True,3.0,True,False,3.0
P00035,economic redistribution,Argentina,business manager,True,4.0,True,False,4.0
P00035,trust in government,Argentina,business manager,True,3.0,True,False,2.0
P00036,climate change,Argentina,cashier,True,4.0,True,False,4.0
P00036,gender equality,Argentina,cashier,True,4.0,True,False,4.0
P00036,immigration,Argentina,cashier,True,4.0,True,False,4.0
P00036,lgbtq rights,Argentina,cashier,True,4.0,True,False,4.0
P00036,religion and secularism,Argentina,cashier,True,3.0,True,False,3.0
P00036,economic redistribution,Argentina,cashier,True,4.0,True,False,4.0
P00036,trust in government,Argentina,cashier,True,3.0,True,False,3.0
P00037,climate change,Argentina,chef,True,4.0,True,False,4.0
P00037,gender equality,Argentina,chef,True,5.0,True,False,4.0
P00037,immigration,Argentina,chef,True,4.0,True,False,4.0
P00037,lgbtq rights,Argentina,chef,True,4.0,True,False,4.0
P00037,religion and secularism,Argentina,chef,True,3.0,True,False,3.0
P00037,economic redistribution,Argentina,chef,True,4.0,True,False,4.0
P00037,trust in government,Argentina,chef,True,3.0,True,False,2.0
P00038,climate change,Argentina,civil engineer,True,4.0,True,False,4.0
P00038,gender equality,Argentina,civil engineer,True,5.0,True,False,4.0
P00038,immigration,Argentina,civil engineer,True,4.0,True,False,4.0
P00038,lgbtq rights,Argentina,civil engineer,True,4.0,True,False,4.0
P00038,religion and secularism,Argentina,civil engineer,True,3.0,True,False,3.0
P00038,economic redistribution,Argentina,civil engineer,True,4.0,True,False,4.0
P00038,trust in government,Argentina,civil engineer,True,3.0,True,False,3.0
P00039,climate change,Argentina,computer programmer,True,4.0,True,False,4.0
P00039,gender equality,Argentina,computer programmer,True,5.0,True,False,4.0
P00039,immigration,Argentina,computer programmer,True,4.0,True,False,4.0
P00039,lgbtq rights,Argentina,computer programmer,True,4.0,True,False,4.0
P00039,religion and secularism,Argentina,computer programmer,True,3.0,True,False,3.0
P00039,economic redistribution,Argentina,computer programmer,True,4.0,True,False,4.0
P00039,trust in government,Argentina,computer programmer,True,3.0,True,False,2.0
P00040,climate change,Argentina,construction worker,True,4.0,True,False,4.0
P00040,gender equality,Argentina,construction worker,True,4.0,True,False,4.0
P00040,immigration,Argentina,construction worker,True,4.0,True,False,4.0
P00040,lgbtq rights,Argentina,construction worker,True,4.0,True,False,4.0
P00040,religion and secularism,Argentina,construction worker,True,3.0,True,False,3.0
P00040,economic redistribution,Argentina,construction worker,True,4.0,True,False,4.0
P00040,trust in government,Argentina,construction worker,True,3.0,True,False,2.0
P00041,climate change,Argentina,doctor,True,4.0,True,False,4.0
P00041,gender equality,Argentina,doctor,True,5.0,True,False,4.0
P00041,immigration,Argentina,doctor,True,4.0,True,False,4.0
P00041,lgbtq rights,Argentina,doctor,True,4.0,True,False,4.0
P00041,religion and secularism,Argentina,doctor,True,3.0,True,False,3.0
P00041,economic redistribution,Argentina,doctor,True,4.0,True,False,4.0
P00041,trust in government,Argentina,doctor,True,4.0,True,False,2.0
P00042,climate change,Argentina,electrician,True,4.0,True,False,4.0
P00042,gender equality,Argentina,electrician,True,4.0,True,False,4.0
P00042,immigration,Argentina,electrician,True,4.0,True,False,4.0
P00042,lgbtq rights,Argentina,electrician,True,4.0,True,False,4.0
P00042,religion and secularism,Argentina,electrician,True,3.0,True,False,3.0
P00042,economic redistribution,Argentina,electrician,True,4.0,True,False,4.0
P00042,trust in government,Argentina,electrician,True,3.0,True,False,2.0
P00043,climate change,Argentina,elementary school teacher,True,4.0,True,False,4.0
P00043,gender equality,Argentina,elementary school teacher,True,5.0,True,False,4.0
P00043,immigration,Argentina,elementary school teacher,True,4.0,True,False,4.0
P00043,lgbtq rights,Argentina,elementary school teacher,True,4.0,True,False,4.0
P00043,religion and secularism,Argentina,elementary school teacher,True,3.0,True,False,3.0
P00043,economic redistribution,Argentina,elementary school teacher,True,4.0,True,False,4.0
P00043,trust in government,Argentina,elementary school teacher,True,3.0,True,False,3.0
P00044,climate change,Argentina,farmer,True,4.0,True,False,4.0
P00044,gender equality,Argentina,farmer,True,4.0,True,False,4.0
P00044,immigration,Argentina,farmer,True,4.0,True,False,4.0
P00044,lgbtq rights,Argentina,farmer,True,4.0,True,False,4.0
P00044,religion and secularism,Argentina,farmer,True,3.0,True,False,3.0
P00044,economic redistribution,Argentina,farmer,True,4.0,True,False,4.0
P00044,trust in government,Argentina,farmer,True,3.0,True,False,2.0
P00045,climate change,Argentina,flight attendant,True,4.0,True,False,4.0
P00045,gender equality,Argentina,flight attendant,True,5.0,True,False,4.0
P00045,immigration,Argentina,flight attendant,True,4.0,True,False,4.0
P00045,lgbtq rights,Argentina,flight attendant,True,4.0,True,False,4.0
P00045,religion and secularism,Argentina,flight attendant,True,3.0,True,False,3.0
P00045,economic redistribution,Argentina,flight attendant,True,4.0,True,False,4.0
P00045,trust in government,Argentina,flight attendant,True,3.0,True,False,2.0
P00046,climate change,Argentina,hairdresser,True,4.0,True,False,4.0
P00046,gender equality,Argentina,hairdresser,True,4.0,True,False,4.0
P00046,immigration,Argentina,hairdresser,True,4.0,True,False,4.0
P00046,lgbtq rights,Argentina,hairdresser,True,4.0,True,False,4.0
P00046,religion and secularism,Argentina,hairdresser,True,3.0,True,False,3.0
P00046,economic redistribution,Argentina,hairdresser,True,4.0,True,False,4.0
P00046,trust in government,Argentina,hairdresser,True,3.0,True,False,2.0
P00047,climate change,Argentina,janitor,True,4.0,True,False,4.0
P00047,gender equality,Argentina,janitor,True,4.0,True,False,4.0
P00047,immigration,Argentina,janitor,True,4.0,True,False,4.0
P00047,lgbtq rights,Argentina,janitor,True,4.0,True,False,4.0
P00047,religion and secularism,Argentina,janitor,True,3.0,True,False,3.0
P00047,economic redistribution,Argentina,janitor,True,4.0,True,False,4.0
P00047,trust in government,Argentina,janitor,True,3.0,True,False,2.0
P00048,climate change,Argentina,journalist,True,4.0,True,False,4.0
P00048,gender equality,Argentina,journalist,True,5.0,True,False,4.0
P00048,immigration,Argentina,journalist,True,4.0,True,False,4.0
P00048,lgbtq rights,Argentina,journalist,True,4.0,True,False,4.0
P00048,religion and secularism,Argentina,journalist,True,2.0,True,False,2.0
P00048,economic redistribution,Argentina,journalist,True,4.0,True,False,4.0
P00048,trust in government,Argentina,journalist,True,2.0,True,False,2.0
P00049,climate change,Argentina,lawyer,True,4.0,True,False,4.0
P00049,gender equality,Argentina,lawyer,True,5.0,True,False,4.0
P00049,immigration,Argentina,lawyer,True,4.0,True,False,4.0
P00049,lgbtq rights,Argentina,lawyer,True,4.0,True,False,4.0
P00049,religion and secularism,Argentina,lawyer,True,3.0,True,False,2.0
P00049,economic redistribution,Argentina,lawyer,True,4.0,True,False,4.0
P00049,trust in government,Argentina,lawyer,True,3.0,True,False,2.0
P00050,climate change,Argentina,mechanic,True,4.0,True,False,4.0
P00050,gender equality,Argentina,mechanic,True,4.0,True,False,4.0
P00050,immigration,Argentina,mechanic,True,4.0,True,False,4.0
P00050,lgbtq rights,Argentina,mechanic,True,4.0,True,False,4.0
P00050,religion and secularism,Argentina,mechanic,True,3.0,True,False,3.0
P00050,economic redistribution,Argentina,mechanic,True,4.0,True,False,4.0
P00050,trust in government,Argentina,mechanic,True,3.0,True,False,2.0
P00051,climate change,Argentina,paramedic,True,4.0,True,False,4.0
P00051,gender equality,Argentina,paramedic,True,5.0,True,False,4.0
P00051,immigration,Argentina,paramedic,True,4.0,True,False,4.0
P00051,lgbtq rights,Argentina,paramedic,True,4.0,True,False,4.0
P00051,religion and secularism,Argentina,paramedic,True,3.0,True,False,2.0
P00051,economic redistribution,Argentina,paramedic,True,4.0,True,False,4.0
P00051,trust in government,Argentina,paramedic,True,3.0,True,False,2.0
P00052,climate change,Argentina,pharmacist,True,4.0,True,False,4.0
P00052,gender equality,Argentina,pharmacist,True,5.0,True,False,4.0
P00052,immigration,Argentina,pharmacist,True,4.0,True,False,4.0
P00052,lgbtq rights,Argentina,pharmacist,True,4.0,True,False,4.0
P00052,religion and secularism,Argentina,pharmacist,True,3.0,True,False,3.0
P00052,economic redistribution,Argentina,pharmacist,True,4.0,True,False,4.0
P00052,trust in government,Argentina,pharmacist,True,3.0,True,False,3.0
P00053,climate change,Argentina,plumber,True,4.0,True,False,4.0
P00053,gender equality,Argentina,plumber,True,4.0,True,False,4.0
P00053,immigration,Argentina,plumber,True,4.0,True,False,4.0
P00053,lgbtq rights,Argentina,plumber,True,4.0,True,False,4.0
P00053,religion and secularism,Argentina,plumber,True,3.0,True,False,3.0
P00053,economic redistribution,Argentina,plumber,True,4.0,True,False,4.0
P00053,trust in government,Argentina,plumber,True,3.0,True,False,2.0
P00054,climate change,Argentina,police officer,True,4.0,True,False,4.0
P00054,gender equality,Argentina,police officer,True,4.0,True,False,4.0
P00054,immigration,Argentina,police officer,True,4.0,True,False,4.0
P00054,lgbtq rights,Argentina,police officer,True,4.0,True,False,4.0
P00054,religion and secularism,Argentina,police officer,True,3.0,True,False,2.0
P00054,economic redistribution,Argentina,police officer,True,4.0,True,False,4.0
P00054,trust in government,Argentina,police officer,True,4.0,True,False,2.0
P00055,climate change,Argentina,real estate agent,True,4.0,True,False,4.0
P00055,gender equality,Argentina,real estate agent,True,4.0,True,False,4.0
P00055,immigration,Argentina,real estate agent,True,4.0,True,False,4.0
P00055,lgbtq rights,Argentina,real estate agent,True,4.0,True,False,4.0
P00055,religion and secularism,Argentina,real estate agent,True,3.0,True,False,3.0
P00055,economic redistribution,Argentina,real estate agent,True,4.0,True,False,4.0
P00055,trust in government,Argentina,real estate agent,True,3.0,True,False,3.0
P00056,climate change,Argentina,registered nurse,True,4.0,True,False,4.0
P00056,gender equality,Argentina,registered nurse,True,5.0,True,False,4.0
P00056,immigration,Argentina,registered nurse,True,4.0,True,False,4.0
P00056,lgbtq rights,Argentina,registered nurse,True,4.0,True,False,4.0
P00056,religion and secularism,Argentina,registered nurse,True,3.0,True,False,3.0
P00056,economic redistribution,Argentina,registered nurse,True,4.0,True,False,4.0
P00056,trust in government,Argentina,registered nurse,True,3.0,True,False,2.0
P00057,climate change,Argentina,social worker,True,4.0,True,False,4.0
P00057,gender equality,Argentina,social worker,True,5.0,True,False,4.0
P00057,immigration,Argentina,social worker,True,4.0,True,False,4.0
P00057,lgbtq rights,Argentina,social worker,True,4.0,True,False,4.0
P00057,religion and secularism,Argentina,social worker,True,2.0,True,False,2.0
P00057,economic redistribution,Argentina,social worker,True,4.0,True,False,4.0
P00057,trust in government,Argentina,social worker,True,2.0,True,False,2.0
P00058,climate change,Argentina,truck driver,True,4.0,True,False,4.0
P00058,gender equality,Argentina,truck driver,True,4.0,True,False,4.0
P00058,immigration,Argentina,truck driver,True,4.0,True,False,4.0
P00058,lgbtq rights,Argentina,truck driver,True,4.0,True,False,4.0
P00058,religion and secularism,Argentina,truck driver,True,3.0,True,False,3.0
P00058,economic redistribution,Argentina,truck driver,True,4.0,True,False,4.0
P00058,trust in government,Argentina,truck driver,True,3.0,True,False,2.0
P00059,climate change,Argentina,veterinarian,True,4.0,True,False,4.0
P00059,gender equality,Argentina,veterinarian,True,5.0,True,False,4.0
P00059,immigration,Argentina,veterinarian,True,4.0,True,False,4.0
P00059,lgbtq rights,Argentina,veterinarian,True,4.0,True,False,4.0
P00059,religion and secularism,Argentina,veterinarian,True,3.0,True,False,3.0
P00059,economic redistribution,Argentina,veterinarian,True,4.0,True,False,4.0
P00059,trust in government,Argentina,veterinarian,True,3.0,True,False,3.0
P00060,climate change,Argentina,waiter,True,4.0,True,False,4.0
